,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_lang,git_branch,gh_num_commits_in_push,git_prev_commit_resolution_status,tr_prev_build,gh_first_commit_created_at,gh_team_size,gh_sloc,gh_pushed_at,tr_status,tr_log_setup_time,tr_log_bool_tests_failed,tr_log_buildduration
3194250,108091830.0,guard/listen,True,2016-02-09 18:19:43,ruby,master,2.0,build_found,91887030.0,2016-02-09 18:15:03,7,4133,2016-02-10,passed,0.0,False,
3194255,108093220.0,puppetlabs/facter,False,,ruby,master,3.0,merge_found,,2016-01-22 20:05:28,44,980,2016-02-09,passed,15.0,,
3194614,108127656.0,aws/aws-sdk-ruby,False,,ruby,master,3.0,build_found,107298610.0,2015-09-19 22:00:12,7,14200,2016-02-09,passed,2.0,False,
3194700,108129060.0,aws/aws-sdk-ruby,False,,ruby,master,1.0,build_found,108128640.0,2015-09-13 08:56:00,7,14206,2016-02-09,passed,1.0,False,
3194725,108131330.0,aws/aws-sdk-ruby,False,,ruby,master,2.0,build_found,108129060.0,2015-09-18 17:25:34,7,14206,2016-02-09,passed,1.0,False,
3200720,108606590.0,sferik/sign-in-with-twitter,False,,ruby,master,2.0,build_found,108457950.0,2015-09-22 12:52:20,2,126,2016-02-03,passed,1.0,False,
3201337,108643816.0,refinery/refinerycms,False,,ruby,master,2.0,merge_found,,2015-09-08 16:23:18,20,6708,2016-02-11,passed,4.0,False,
3201388,108646030.0,refinery/refinerycms,False,,ruby,master,2.0,merge_found,,2015-08-04 14:33:41,20,6708,2016-02-11,passed,1.0,False,
3206625,109102690.0,activeadmin/activeadmin,False,,ruby,master,5.0,build_found,109080870.0,2015-09-24 11:40:02,17,6982,2016-02-14,passed,1.0,False,
3206675,109103250.0,celluloid/reel,False,,ruby,master,2.0,merge_found,,2015-09-24 11:40:02,1,1312,2016-02-14,passed,1.0,False,
3206680,109103304.0,activeadmin/activeadmin,False,,ruby,master,3.0,merge_found,,2015-09-24 11:40:02,17,6982,2016-02-14,passed,1.0,False,
3211267,109604220.0,openSUSE/open-build-service,False,,ruby,master,2.0,merge_found,,2015-01-02 18:53:38,18,30810,2016-02-16,failed,33.0,False,
3212896,109750270.0,openaustralia/morph,False,,ruby,master,3.0,merge_found,,2015-09-26 14:06:39,7,6279,2016-02-17,passed,1.0,False,
3218318,110232250.0,hexorx/countries,False,,ruby,master,2.0,merge_found,,2015-09-27 18:03:01,4,243,2016-01-29,passed,1.0,False,
3218322,110232296.0,hexorx/countries,False,,ruby,master,6.0,merge_found,,2015-09-27 18:35:04,4,243,2016-01-29,passed,1.0,False,
3218976,110273544.0,rapid7/metasploit-framework,True,2016-02-19 00:47:02,ruby,master,2.0,build_found,106526936.0,2015-09-28 11:31:16,90,601750,2016-02-21,passed,25.0,False,
3219206,110289730.0,expertiza/expertiza,False,,ruby,master,1.0,build_found,110283280.0,2015-02-12 22:57:22,11,26777,2016-02-19,failed,41.0,True,
3219633,110334904.0,floere/phony,False,,ruby,master,1.0,build_found,110334700.0,2015-09-29 15:17:04,11,11308,2016-02-19,passed,1.0,False,
3219638,110335710.0,floere/phony,False,,ruby,master,1.0,build_found,110334904.0,2015-09-29 15:17:04,11,11308,2016-02-19,passed,1.0,False,
3219643,110336900.0,openSUSE/open-build-service,False,,ruby,master,2.0,merge_found,,2015-09-29 15:18:29,18,30779,2016-02-19,failed,32.0,,
3220840,110469690.0,lemurheavy/coveralls-ruby,False,,ruby,master,3.0,merge_found,,2015-09-29 21:32:41,3,546,2016-02-19,passed,0.0,,
3220847,110469860.0,lemurheavy/coveralls-ruby,False,,ruby,master,1.0,build_found,110469690.0,2015-09-29 21:32:41,3,546,2016-02-19,passed,1.0,,
3221260,110526190.0,rapid7/metasploit-framework,True,2016-02-19 02:48:03,ruby,master,6.0,build_found,110299220.0,2015-09-15 21:01:05,90,601681,2016-03-06,passed,23.0,False,
3230295,111236950.0,openSUSE/open-build-service,False,,ruby,master,2.0,merge_found,,2015-10-02 18:37:56,18,30790,2016-02-23,passed,36.0,,
3231450,111334960.0,fluent/fluentd,False,,ruby,master,1.0,build_found,110290880.0,2015-10-03 14:11:02,9,10987,2016-02-03,passed,4.0,,
3231993,111378630.0,expertiza/expertiza,False,,ruby,master,1.0,build_found,111123740.0,2015-10-03 21:24:13,11,26750,2016-01-21,failed,41.0,True,
3232262,111388180.0,rapid7/metasploit-framework,True,2016-02-15 21:11:34,ruby,master,8.0,merge_found,,2015-10-02 16:31:24,89,602529,2016-02-26,passed,27.0,,
3241521,112232900.0,roidrage/lograge,False,,ruby,master,2.0,merge_found,,2015-10-07 19:28:06,6,419,2016-02-27,passed,0.0,False,
3242580,112349430.0,refinery/refinerycms,False,,ruby,master,2.0,merge_found,,2015-10-08 02:59:43,21,6703,2016-02-28,passed,1.0,False,
3246826,112684856.0,shoes/shoes4,False,,ruby,master,6.0,merge_found,,2015-10-09 15:00:26,13,12960,2016-02-29,passed,3.0,False,
3247005,112694344.0,rapid7/metasploit-framework,False,,ruby,master,2.0,merge_found,,2015-10-09 16:34:10,89,604076,2016-02-29,passed,5.0,,
3247243,112709000.0,aws/aws-sdk-ruby,False,,ruby,master,2.0,merge_found,,2015-10-09 18:40:43,6,14395,2016-02-29,passed,24.0,False,
3251444,113004800.0,aws/aws-sdk-ruby,False,,ruby,master,1.0,build_found,113004000.0,2015-10-12 21:36:50,6,14406,2016-03-02,passed,1.0,False,
3252942,113115120.0,fluent/fluentd,False,,ruby,master,5.0,merge_found,,2015-10-13 13:01:59,10,10997,2016-03-02,passed,5.0,,
3256282,113418270.0,guard/listen,False,,ruby,master,2.0,merge_found,,2015-10-14 14:31:24,7,4137,2016-03-03,passed,0.0,False,
3256522,113437020.0,openSUSE/open-build-service,False,,ruby,master,2.0,merge_found,,2015-10-14 15:41:52,18,30864,2016-03-03,passed,22.0,False,
3256779,113448690.0,opal/opal,True,2016-03-03 16:40:53,ruby,master,2.0,build_found,113409970.0,2015-10-14 17:07:59,19,30780,2016-03-03,passed,6.0,False,
3258131,113512184.0,opal/opal,False,,ruby,master,2.0,merge_found,,2015-10-13 07:35:20,19,30789,2016-03-03,passed,8.0,,
3271014,114564510.0,rails-api/active_model_serializers,False,,ruby,master,2.0,merge_found,,2015-10-21 03:59:33,45,2233,2016-03-08,passed,1.0,,
3271549,114614136.0,rails-api/active_model_serializers,False,,ruby,master,2.0,merge_found,,2015-10-21 12:07:13,45,2233,2016-01-14,passed,1.0,False,
3272657,114665270.0,refinery/refinerycms,True,2016-03-08 23:53:33,ruby,master,3.0,build_found,114662600.0,2015-10-21 21:53:00,20,6836,2016-03-09,passed,0.0,False,
3273047,114692456.0,thibaudgg/video_info,False,,ruby,master,6.0,build_found,114465016.0,2013-12-03 03:35:54,6,3073,2016-03-09,failed,12.0,True,
